TreeNum,Response,Easting,Northing,TreeDiam,Infest_Serv1,Infest_Serv2,Ind_DeadDist,DeadDist,SDI_20th,Neigh_SDI_1/4th,BA_20th,Neigh_1/4th,Neigh_1/2th,Neigh_1,Neigh_1.5,BA_Inf_20th,BA_Infest_1/4th,BA_Infest_1/2th,BA_Infest_1,BA_Infest_1.5,IND_BA_Infest_20th,IND_BA_Infest_1/4th,IND_BA_Infest_1/2th,IND_BA_Infest_1,IND_BA_Infest_1.5
1,0,766124.3808,4333846.342,7,15,24.128496,1,49.65012717,3.447468624,14.14867197,1.843452,8.573688,21.745098,77.03775,112.76145,0,0,0,0,0,0,0,0,0,0
2,0,766138.6395,4333862.622,6,15,24.128496,1,31.57695778,5.612227884,43.54438551,3.365118,30.02427,54.218214,126.740052,174.707982,0,0,0,5.34492,11.34432,0,0,0,1,1
3,0,766133.555,4333854.833,6,15,24.128496,1,38.51192214,6.538921493,33.87840594,4.150494,22.235958,36.454536,95.941314,160.931178,0,0,0,0,7.52652,0,0,0,0,1
4,0,766142.1546,4333858.689,7,15,24.128496,1,29.12140948,18.21713996,32.05986966,12.647826,21.919626,50.427684,112.696002,164.32902,0,0,0,9.375426,13.984056,0,0,0,1,1
5,0,766141.1526,4333857.993,12,15,24.128496,1,30.29468654,13.52220455,33.39981135,9.484506,22.705002,49.505958,113.917698,154.506366,0,0,0,7.52652,11.34432,0,0,0,1,1
6,0,766142.0029,4333857.263,8,15,24.128496,1,29.74744285,13.52220455,32.05986966,9.484506,21.919626,50.427684,104.940414,157.691502,0,0,0,7.52652,13.984056,0,0,0,1,1
7,0,766147.5703,4333858.562,14,15,24.128496,1,24.09804331,17.07768187,40.08889683,12.102426,28.568052,66.413358,111.965166,169.45578,0,0,5.34492,11.34432,25.541082,0,0,1,1,1
8,0,766140.7057,4333853.88,8,15,24.128496,1,31.89620816,8.701482067,41.19723249,5.355828,27.995382,36.86904,96.312186,157.249728,0,0,0,5.34492,13.984056,0,0,0,1,1
9,0,766141.393,4333853.84,15,15,24.128496,1,31.2374731,10.41755404,41.19723249,6.424812,27.995382,41.690376,95.183208,156.589794,0,0,0,5.34492,13.984056,0,0,0,1,1
10,0,766138.449,4333849.022,20,15,24.128496,1,35.4663525,8.455940729,36.52002759,5.377644,24.46119,30.24243,81.084618,145.000044,0,0,0,1.396224,13.984056,0,0,0,1,1
11,0,766135.6485,4333846.89,15,15,24.128496,1,38.8444403,5.399463399,31.82509218,3.605094,21.29787,30.329694,76.81959,129.47796,0,0,0,0,5.34492,0,0,0,0,1
12,0,766146.3207,4333846.643,15,15,24.128496,1,29.32063598,5.723934207,30.50386496,4.112316,20.850642,40.103262,86.189562,129.188898,0,0,0,12.015162,17.987292,0,0,0,1,1
13,0,766113.1054,4333845.99,4,15,24.128496,0,60.58695464,1.569718549,13.12251134,0.87264,7.493796,24.712074,71.131068,109.876284,0,0,0,0,0,0,0,0,0,0
